                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4122,                 0.7645,                 1.2783,                0.89055,                0.81905,                0.89706,                0.51615,                 1.5136,                 0.7227,                 1.3338,               0.003268,               0.003268,               0.003268
                     36,                 1.4046,                0.75848,                  1.277,                 0.8967,                0.81803,                0.89983,                0.52279,                 1.5068,                0.72596,                 1.3462,                0.00307,                0.00307,                0.00307
                     37,                 1.4035,                0.76289,                 1.2794,                 0.8964,                0.81581,                 0.9006,                 0.5256,                 1.4912,                 0.7196,                 1.3314,               0.002872,               0.002872,               0.002872
                     38,                  1.408,                0.76144,                 1.2797,                0.88359,                0.83041,                0.89983,                0.51952,                 1.5027,                0.71069,                 1.3326,               0.002674,               0.002674,               0.002674
                     39,                  1.399,                0.75431,                 1.2723,                 0.8887,                0.83742,                0.90734,                0.52607,                 1.4931,                0.70331,                 1.3256,               0.002476,               0.002476,               0.002476
                     40,                 1.3948,                0.74834,                 1.2683,                 0.8913,                0.82856,                0.90097,                0.52612,                 1.4822,                0.72513,                 1.3254,               0.002278,               0.002278,               0.002278
                     41,                 1.3949,                  0.748,                  1.267,                0.89072,                0.83476,                0.90781,                0.52567,                 1.5007,                0.70713,                 1.3224,                0.00208,                0.00208,                0.00208
                     42,                 1.3882,                0.74477,                 1.2689,                0.89198,                0.84245,                0.90948,                0.53078,                 1.4874,                0.68588,                 1.3191,               0.001882,               0.001882,               0.001882
                     43,                 1.3808,                0.73925,                 1.2665,                0.88103,                0.83479,                0.90325,                0.52597,                 1.4896,                0.70292,                 1.3258,               0.001684,               0.001684,               0.001684
                     44,                 1.3855,                0.74064,                 1.2708,                 0.8931,                 0.8381,                0.90964,                0.53193,                   1.48,                0.69104,                 1.3196,               0.001486,               0.001486,               0.001486
                     45,                 1.3792,                0.73418,                 1.2612,                0.88643,                0.84952,                0.91094,                0.53416,                 1.4826,                0.67826,                 1.3107,               0.001288,               0.001288,               0.001288
                     46,                 1.3727,                0.73328,                 1.2606,                0.89292,                0.84187,                0.91122,                0.53216,                 1.4858,                0.67476,                 1.3238,                0.00109,                0.00109,                0.00109
                     47,                 1.3657,                0.72157,                 1.2525,                0.88874,                0.85154,                0.91285,                0.53602,                 1.4799,                0.67219,                 1.3147,               0.000892,               0.000892,               0.000892
                     48,                 1.3687,                0.72449,                 1.2586,                0.88847,                0.84949,                0.91413,                 0.5369,                 1.4709,                0.67411,                 1.3131,               0.000694,               0.000694,               0.000694
                     49,                 1.3606,                0.71924,                 1.2532,                0.89294,                0.85098,                0.91478,                0.53856,                 1.4724,                 0.6653,                 1.3112,               0.000496,               0.000496,               0.000496
